S.No,Quarter,PO Number,PO Status,Month of Purchase,HSN No.,Invoice Date,Invoice Number,Vendor,Material Movement Type,Purpose,Type of Scrap,Purchase Category,Location,Region,QTY in (Kg),Actual Quantity received,Rate,Value (Rs.),Total Value with GST (Rs.),TCS,Qty Out (Kg),Purpose,Material Location,Material Received Date,Goods Status,Sale,Vendor Catogery,Battery Type,Source of Procurement,EPR Status,Transporter Name,Invoice number,Vehicle Number,Logsitics Ex GST,Logistics Per KG,Transit Days,Transit Insurance ID,Amount,Remarks,Invoice Status With transportation Bill
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr002,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NMC NG cell with electrolyte 5ah,FOR EPR,Bengaluru,South,"6,380.00","6,380.00",₹ 460.59,"2,938,564.20","3,467,505.76","3,536,855.87",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr005,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"2,030.00","2,030.00",₹ 233.20,"473,396.00","558,607.28","569,779.43",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr009,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"6,690.00","6,690.00",₹ 233.20,"1,560,108.00","1,840,927.44","1,877,745.99",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr013,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"6,460.00","6,460.00",₹ 233.22,"1,506,601.20","1,777,789.42","1,813,345.20",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
33,Q1,MMPO262700057,Close,April,,22/4/2026,4100593931,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,"4,266.72","4,266.72",₹ 120.00,"512,006.40","604,167.55","616,250.90",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
34,Q1,MMPO262700058,Close,April,,22/4/2026,SC/002,LIBAT ENERGY,Fresh Purchase,Direct Sale,Metal Scrap Cu+Al with mix Plastic,FOR EPR,Tamil Nadu,South,713,713.00,₹ 800.00,"570,400.00","673,072.00","686,533.44",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700058,Close,April,,22/4/2026,SC/002,LIBAT ENERGY,Fresh Purchase,Direct Sale,Metal Scrap Cu+Al,FOR EPR,Tamil Nadu,South,"6,670.00","6,670.00",₹ 25.00,"166,750.00","196,765.00","200,700.30",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700058,Close,April,,22/4/2026,SC/002,LIBAT ENERGY,Fresh Purchase,Direct Sale,Aluminium Scrap,FOR EPR,Tamil Nadu,South,847,847.00,₹ 85.00,"71,995.00","84,954.10","86,653.18",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
35,Q1,No Po,Close,April,,22/4/2026,1,ARS electric vechicles,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,20,20.00,₹ 20.00,400,472,481.44,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,No Po,Close,April,,22/4/2026,1,ARS electric vechicles,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,296,296.00,₹ 180.00,"53,280.00","62,870.40","64,127.81",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
